pid,creator,location,label,_date,object_type,current_location,source,note,license,order,layout,collection,thumbnail,full,manifest
obj1,New College of Florida,"Sarasota, Fla",Announcement of New College Architect,1963,Photograph,New College of Florida Library,http://ncf.sobek.ufl.edu/AA00026450/00001/citation,"Black and white photograph of the announcement of New College architect September 23, 1963, College Hall. Standing: Dr. George F. Baughman, President. Seated: (left to right) David B. Lindsay, Jr., I. M. Pei, Philip H. Hiss, Eason Leonard and Dean John W. Gustad.",CC0,0,item,pei,img/derivatives/simple/obj1_00/thumbnail.jpg,img/derivatives/simple/obj1_00/full.jpg,/img/derivatives/iiif/obj1/manifest.json
obj2,New College of Florida,"Sarasota, Fla",New College Progress Photos,1964,Photograph,New College of Florida Library,http://ncf.sobek.ufl.edu/AA00026448/00001,Collection of black and white photos taken in 1964 of the construction of the Pei dorms.,CC0,1,item,pei,img/derivatives/simple/obj2_04/thumbnail.jpg,img/derivatives/simple/obj2_04/full.jpg,/img/derivatives/iiif/obj2/manifest.json
obj3,New College of Florida,"Sarasota, Fla",Pei dorm model,1964,Photograph,New College of Florida Library,http://ncf.sobek.ufl.edu/AA00026460/00001,Color photograph of Pei dorm model.,CC0,2,item,pei,img/derivatives/simple/obj3_04/thumbnail.jpg,img/derivatives/simple/obj3_04/full.jpg,/img/derivatives/iiif/obj3/manifest.json
obj4,New College of Florida,"Sarasota, Fla",Public presentation of model of East Campus dorms,1964,Photograph,New College of Florida Library,http://ncf.sobek.ufl.edu/AA00026459/00001,"Black and white photographs from the public presentation of the model of east Campus, January 20, 1964.",CC0,3,item,pei,img/derivatives/simple/obj4_08/thumbnail.jpg,img/derivatives/simple/obj4_08/full.jpg,/img/derivatives/iiif/obj4/manifest.json
obj5,New College of Florida,"Sarasota, Fla",New College architect announced,1963,Photograph,New College of Florida Library,http://ncf.sobek.ufl.edu/AA00026454/00001,"Black and white negatives from the selection announcement of I. M. Pei as the New College architect on September 23, 1963.",CC0,4,item,pei,img/derivatives/simple/obj5_46/thumbnail.jpg,img/derivatives/simple/obj5_46/full.jpg,/img/derivatives/iiif/obj5/manifest.json
obj6,New College of Florida,"Sarasota, Fla",Pei dorm model display,1964,Photograph,New College of Florida Library,http://ncf.sobek.ufl.edu/AA00026464/00001,"Photographs from I. M. Pei's presentation of East Campus model, January 20, 1964.",CC0,5,item,pei,img/derivatives/simple/obj6_19/thumbnail.jpg,img/derivatives/simple/obj6_19/full.jpg,/img/derivatives/iiif/obj6/manifest.json
obj7,New College of Florida,"Sarasota, Fla",Appointment of Famed Architect Release,1963,Official Release,New College of Florida Library,,,,6,item,pei,img/derivatives/simple/obj7_04/thumbnail.jpg,img/derivatives/simple/obj7_04/full.jpg,/img/derivatives/iiif/obj7/manifest.json
obj8,New College of Florida,"Sarasota, Fla",Appointment of Famed Architect Release,1963,Official Release,New College of Florida Library,http://ncf.sobek.ufl.edu/AA00026457/00001,7 page news release.,CC0,7,item,pei,img/derivatives/simple/obj8_04/thumbnail.jpg,img/derivatives/simple/obj8_04/full.jpg,/img/derivatives/iiif/obj8/manifest.json
obj9,New College of Florida,"Sarasota, Fla",Appointment of Famed Architect Release,1963,Official Release,New College of Florida Library,,,CC0,8,item,pei,img/derivatives/simple/obj9_04/thumbnail.jpg,img/derivatives/simple/obj9_04/full.jpg,/img/derivatives/iiif/obj9/manifest.json
obj10,New College of Florida,"Sarasota, Fla",New Horizons with New College,1961,Publication,New College of Florida Library,http://ncf.sobek.ufl.edu/AA00026458/00001,Promotional material from the early days of the college.,CC0,9,item,pei,img/derivatives/simple/obj10_08/thumbnail.jpg,img/derivatives/simple/obj10_08/full.jpg,/img/derivatives/iiif/obj10/manifest.json
